SIM,SOLVER,ERP,DIRECTION,TIMESTEP,BOXVELOCITY,BALLVELOCITY,BOXPOSITION,BALLPOSITION,BOXERROR,BALLERROR,TIME
"BULLET","NNCG",1,0,0.001,0,0,0,0,1.92047717734303e-05,2.5536975234119e-06,0.325438
"BULLET","NNCG",1,0,0.004,0,0,0,0,9.53438458239101e-05,3.85179746139223e-05,0.085952
"BULLET","NNCG",1,0,0.01,0,0,0,0,0.000748908462885317,0.000274907390971288,0.0408297
"BULLET","NNCG",1,0,0.04,0,0,0,0,0.00799759746121419,0.00380047975841988,0.01098
"BULLET","NNCG",1,0,0.1,0,0,0,0,0.374933250119901,0.414705878858042,0.00528482
"BULLET","SEQUENCEIMPULSE",1,0,1e-05,0,0,0,0,0.152357497248766,0.0145094466159579,38.3413
"BULLET","SEQUENCEIMPULSE",1,0,4e-05,0,0,0,0,0.00893657972590407,0.000761470221350886,9.09597
"BULLET","SEQUENCEIMPULSE",1,0,0.0001,0,0,0,0,0.00140277544407824,0.00011639479848018,3.62444
"BULLET","SEQUENCEIMPULSE",1,0,0.0004,0,0,0,0,7.89635584815939e-05,6.56272442923481e-06,0.918728
"BULLET","SEQUENCEIMPULSE",1,0,0.001,0,0,0,0,8.07670161798544e-06,1.52309201455078e-06,0.363676
"BULLET","SEQUENCEIMPULSE",1,0,0.004,0,0,0,0,0.000120455505697923,2.3498042080668e-05,0.0904638
"BULLET","SEQUENCEIMPULSE",1,0,0.01,0,0,0,0,0.000763102800322745,0.000165613595220646,0.037232
"BULLET","SEQUENCEIMPULSE",1,0,0.04,0,0,0,0,0.00261693343382187,0.00290584516954114,0.0100706
"BULLET","SEQUENCEIMPULSE",1,0,0.1,0,0,0,0,0.0305488267240233,0.0371599834749777,0.00457629
"DART","DANTZIG",1,0,1e-05,0,0,0,0,1.95367048000205e-06,0.44106346408357,264.336
"DART","DANTZIG",1,0,4e-05,0,0,0,0,1.94601278888762e-06,0.441055530725248,66.4235
"DART","DANTZIG",1,0,0.0001,0,0,0,0,1.93448475282362e-06,0.441088196030667,26.4353
"DART","DANTZIG",1,0,0.0004,0,0,0,0,1.51599143473953e-06,0.441052769412738,6.82515
